Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
-56.558,5.1796,0.31268,3.1982,17.286,18.943,94.138,27.691,39.992,222.78,2.6174,10.892,0.011116,vapor
-56.414,5.2122,0.31455,3.1791,17.288,18.945,94.101,27.709,40.031,222.79,2.6126,10.899,0.011129,vapor
-56.269,5.2449,0.31644,3.1602,17.29,18.947,94.064,27.727,40.07,222.81,2.6079,10.906,0.011142,vapor
-56.125,5.2778,0.31833,3.1414,17.292,18.95,94.027,27.745,40.109,222.83,2.6031,10.913,0.011155,vapor
-55.981,5.3109,0.32024,3.1227,17.294,18.952,93.99,27.762,40.148,222.85,2.5984,10.92,0.011167,vapor
-55.837,5.344,0.32215,3.1042,17.295,18.954,93.953,27.78,40.187,222.86,2.5937,10.928,0.01118,vapor
-55.692,5.3774,0.32407,3.0858,17.297,18.957,93.916,27.798,40.227,222.88,2.589,10.935,0.011193,vapor
-55.548,5.4109,0.326,3.0675,17.299,18.959,93.88,27.816,40.266,222.9,2.5843,10.942,0.011206,vapor
-55.404,5.4446,0.32794,3.0494,17.301,18.961,93.843,27.834,40.306,222.91,2.5796,10.949,0.011219,vapor
-55.26,5.4784,0.32988,3.0314,17.303,18.964,93.806,27.852,40.346,222.93,2.575,10.956,0.011232,vapor
-55.115,5.5124,0.33184,3.0135,17.305,18.966,93.77,27.87,40.386,222.95,2.5703,10.963,0.011245,vapor
-54.971,5.5465,0.33381,2.9958,17.307,18.968,93.733,27.888,40.426,222.96,2.5657,10.971,0.011258,vapor
-54.827,5.5808,0.33578,2.9781,17.308,18.97,93.697,27.907,40.466,222.98,2.5611,10.978,0.011271,vapor
-54.683,5.6153,0.33776,2.9606,17.31,18.973,93.66,27.925,40.506,222.99,2.5565,10.985,0.011284,vapor
-54.538,5.6499,0.33976,2.9433,17.312,18.975,93.624,27.943,40.547,223.01,2.5519,10.992,0.011297,vapor
-54.394,5.6847,0.34176,2.926,17.314,18.977,93.587,27.961,40.587,223.02,2.5473,10.999,0.01131,vapor
-54.25,5.7196,0.34377,2.9089,17.316,18.979,93.551,27.979,40.628,223.04,2.5427,11.007,0.011323,vapor
-54.106,5.7547,0.34579,2.8919,17.317,18.982,93.515,27.998,40.669,223.05,2.5382,11.014,0.011336,vapor
-53.961,5.79,0.34782,2.8751,17.319,18.984,93.479,28.016,40.71,223.07,2.5337,11.021,0.011349,vapor
-53.817,5.8254,0.34986,2.8583,17.321,18.986,93.443,28.034,40.751,223.08,2.5291,11.028,0.011362,vapor
-53.673,5.861,0.35191,2.8417,17.323,18.988,93.406,28.053,40.792,223.1,2.5246,11.036,0.011376,vapor
-53.528,5.8967,0.35396,2.8251,17.325,18.991,93.37,28.071,40.834,223.11,2.5201,11.043,0.011389,vapor
-53.384,5.9326,0.35603,2.8087,17.326,18.993,93.334,28.09,40.876,223.12,2.5157,11.05,0.011402,vapor
-53.24,5.9687,0.35811,2.7925,17.328,18.995,93.298,28.108,40.917,223.14,2.5112,11.057,0.011415,vapor
-53.096,6.005,0.36019,2.7763,17.33,18.997,93.262,28.127,40.959,223.15,2.5067,11.064,0.011429,vapor
-52.951,6.0414,0.36229,2.7602,17.332,18.999,93.226,28.145,41.001,223.17,2.5023,11.072,0.011442,vapor
-52.807,6.078,0.36439,2.7443,17.333,19.001,93.191,28.164,41.043,223.18,2.4979,11.079,0.011455,vapor
-52.663,6.1147,0.36651,2.7285,17.335,19.004,93.155,28.182,41.086,223.19,2.4935,11.086,0.011469,vapor
-52.519,6.1516,0.36863,2.7127,17.337,19.006,93.119,28.201,41.128,223.2,2.4891,11.094,0.011482,vapor
-52.374,6.1887,0.37077,2.6971,17.339,19.008,93.083,28.22,41.171,223.22,2.4847,11.101,0.011495,vapor
-52.23,6.2259,0.37291,2.6816,17.34,19.01,93.047,28.238,41.214,223.23,2.4803,11.108,0.011509,vapor
-52.086,6.2634,0.37506,2.6662,17.342,19.012,93.012,28.257,41.257,223.24,2.4759,11.115,0.011522,vapor
-51.942,6.3009,0.37722,2.6509,17.344,19.014,92.976,28.276,41.3,223.25,2.4716,11.123,0.011536,vapor
-51.797,6.3387,0.3794,2.6358,17.346,19.016,92.941,28.295,41.343,223.26,2.4672,11.13,0.011549,vapor
-51.653,6.3766,0.38158,2.6207,17.347,19.018,92.905,28.314,41.386,223.27,2.4629,11.137,0.011563,vapor
-51.509,6.4147,0.38377,2.6057,17.349,19.021,92.87,28.332,41.43,223.29,2.4586,11.144,0.011576,vapor
-51.365,6.453,0.38597,2.5909,17.351,19.023,92.834,28.351,41.474,223.3,2.4543,11.152,0.01159,vapor
-51.22,6.4914,0.38818,2.5761,17.352,19.025,92.799,28.37,41.518,223.31,2.45,11.159,0.011604,vapor
-51.076,6.53,0.39041,2.5614,17.354,19.027,92.763,28.389,41.562,223.32,2.4458,11.166,0.011617,vapor
-50.932,6.5688,0.39264,2.5469,17.356,19.029,92.728,28.408,41.606,223.33,2.4415,11.174,0.011631,vapor
-50.787,6.6077,0.39488,2.5324,17.358,19.031,92.693,28.427,41.65,223.34,2.4373,11.181,0.011645,vapor
-50.643,6.6469,0.39713,2.5181,17.359,19.033,92.658,28.447,41.695,223.35,2.433,11.188,0.011658,vapor
-50.499,6.6862,0.39939,2.5038,17.361,19.035,92.622,28.466,41.739,223.36,2.4288,11.196,0.011672,vapor
-50.355,6.7256,0.40166,2.4896,17.363,19.037,92.587,28.485,41.784,223.37,2.4246,11.203,0.011686,vapor
-50.21,6.7653,0.40395,2.4756,17.364,19.039,92.552,28.504,41.829,223.38,2.4204,11.21,0.0117,vapor
-50.066,6.8051,0.40624,2.4616,17.366,19.041,92.517,28.523,41.874,223.39,2.4162,11.218,0.011713,vapor
-49.922,6.8451,0.40854,2.4477,17.368,19.043,92.482,28.543,41.919,223.39,2.412,11.225,0.011727,vapor
-49.778,6.8853,0.41085,2.434,17.369,19.045,92.447,28.562,41.965,223.4,2.4079,11.232,0.011741,vapor
-49.633,6.9256,0.41317,2.4203,17.371,19.047,92.412,28.581,42.011,223.41,2.4037,11.24,0.011755,vapor
-49.489,6.9661,0.41551,2.4067,17.372,19.049,92.377,28.601,42.056,223.42,2.3996,11.247,0.011769,vapor
-49.345,7.0068,0.41785,2.3932,17.374,19.051,92.342,28.62,42.102,223.43,2.3955,11.254,0.011783,vapor
-49.201,7.0477,0.42021,2.3798,17.376,19.053,92.307,28.639,42.148,223.44,2.3913,11.262,0.011797,vapor
-49.056,7.0888,0.42257,2.3665,17.377,19.055,92.273,28.659,42.195,223.44,2.3872,11.269,0.011811,vapor
-48.912,7.13,0.42494,2.3533,17.379,19.057,92.238,28.678,42.241,223.45,2.3832,11.277,0.011825,vapor
-48.768,7.1714,0.42733,2.3401,17.381,19.059,92.203,28.698,42.288,223.46,2.3791,11.284,0.011839,vapor
-48.624,7.213,0.42973,2.3271,17.382,19.061,92.168,28.718,42.335,223.47,2.375,11.291,0.011853,vapor
-48.479,7.2548,0.43213,2.3141,17.384,19.063,92.134,28.737,42.381,223.47,2.371,11.299,0.011867,vapor
-48.335,7.2968,0.43455,2.3012,17.385,19.064,92.099,28.757,42.429,223.48,2.3669,11.306,0.011882,vapor
-48.191,7.3389,0.43698,2.2885,17.387,19.066,92.065,28.777,42.476,223.48,2.3629,11.314,0.011896,vapor
-48.046,7.3813,0.43941,2.2758,17.388,19.068,92.03,28.796,42.523,223.49,2.3589,11.321,0.01191,vapor
-47.902,7.4238,0.44186,2.2631,17.39,19.07,91.995,28.816,42.571,223.5,2.3548,11.328,0.011924,vapor
-47.758,7.4664,0.44432,2.2506,17.392,19.072,91.961,28.836,42.619,223.5,2.3508,11.336,0.011939,vapor
-47.614,7.5093,0.44679,2.2382,17.393,19.074,91.927,28.856,42.667,223.51,2.3469,11.343,0.011953,vapor
-47.469,7.5524,0.44927,2.2258,17.395,19.076,91.892,28.876,42.715,223.51,2.3429,11.351,0.011967,vapor
-47.325,7.5956,0.45177,2.2135,17.396,19.078,91.858,28.895,42.763,223.52,2.3389,11.358,0.011982,vapor
-47.181,7.639,0.45427,2.2013,17.398,19.079,91.823,28.915,42.812,223.52,2.335,11.366,0.011996,vapor
-47.037,7.6826,0.45678,2.1892,17.399,19.081,91.789,28.935,42.861,223.53,2.331,11.373,0.01201,vapor
-46.892,7.7264,0.45931,2.1772,17.401,19.083,91.755,28.955,42.91,223.53,2.3271,11.381,0.012025,vapor
-46.748,7.7704,0.46184,2.1652,17.402,19.085,91.721,28.976,42.959,223.54,2.3232,11.388,0.012039,vapor
-46.604,7.8146,0.46439,2.1534,17.404,19.087,91.687,28.996,43.008,223.54,2.3193,11.395,0.012054,vapor
-46.46,7.859,0.46695,2.1416,17.405,19.088,91.652,29.016,43.057,223.55,2.3154,11.403,0.012068,vapor
-46.315,7.9035,0.46952,2.1298,17.407,19.09,91.618,29.036,43.107,223.55,2.3115,11.41,0.012083,vapor
-46.171,7.9482,0.4721,2.1182,17.408,19.092,91.584,29.056,43.157,223.55,2.3076,11.418,0.012098,vapor
-46.027,7.9931,0.47469,2.1066,17.41,19.094,91.55,29.076,43.207,223.56,2.3037,11.425,0.012112,vapor
-45.883,8.0383,0.47729,2.0951,17.411,19.095,91.516,29.097,43.257,223.56,2.2999,11.433,0.012127,vapor
-45.738,8.0836,0.47991,2.0837,17.413,19.097,91.482,29.117,43.307,223.56,2.296,11.44,0.012142,vapor
-45.594,8.129,0.48253,2.0724,17.414,19.099,91.448,29.137,43.358,223.56,2.2922,11.448,0.012156,vapor
-45.45,8.1747,0.48517,2.0611,17.416,19.101,91.414,29.158,43.409,223.57,2.2884,11.455,0.012171,vapor
-45.305,8.2206,0.48782,2.0499,17.417,19.102,91.38,29.178,43.46,223.57,2.2846,11.463,0.012186,vapor
-45.161,8.2667,0.49048,2.0388,17.419,19.104,91.346,29.199,43.511,223.57,2.2808,11.47,0.012201,vapor
-45.017,8.3129,0.49315,2.0278,17.42,19.106,91.313,29.219,43.562,223.57,2.277,11.478,0.012216,vapor
-44.873,8.3594,0.49583,2.0168,17.421,19.107,91.279,29.24,43.614,223.57,2.2732,11.486,0.012231,vapor
-44.728,8.406,0.49853,2.0059,17.423,19.109,91.245,29.26,43.665,223.57,2.2694,11.493,0.012245,vapor
-44.584,8.4529,0.50123,1.9951,17.424,19.111,91.211,29.281,43.717,223.58,2.2657,11.501,0.01226,vapor
-44.44,8.4999,0.50395,1.9843,17.426,19.112,91.178,29.302,43.769,223.58,2.2619,11.508,0.012275,vapor
-44.296,8.5471,0.50668,1.9736,17.427,19.114,91.144,29.322,43.822,223.58,2.2582,11.516,0.01229,vapor
-44.151,8.5945,0.50942,1.963,17.429,19.116,91.11,29.343,43.874,223.58,2.2544,11.523,0.012306,vapor
-44.007,8.6421,0.51217,1.9525,17.43,19.117,91.077,29.364,43.927,223.58,2.2507,11.531,0.012321,vapor
-43.863,8.69,0.51494,1.942,17.431,19.119,91.043,29.385,43.98,223.58,2.247,11.539,0.012336,vapor
-43.719,8.738,0.51772,1.9316,17.433,19.12,91.01,29.406,44.033,223.58,2.2433,11.546,0.012351,vapor
-43.574,8.7862,0.5205,1.9212,17.434,19.122,90.976,29.426,44.086,223.58,2.2396,11.554,0.012366,vapor
-43.43,8.8346,0.5233,1.9109,17.435,19.124,90.943,29.447,44.14,223.58,2.2359,11.561,0.012381,vapor
-43.286,8.8832,0.52612,1.9007,17.437,19.125,90.909,29.468,44.193,223.58,2.2323,11.569,0.012397,vapor
-43.142,8.932,0.52894,1.8906,17.438,19.127,90.876,29.489,44.247,223.57,2.2286,11.577,0.012412,vapor
-42.997,8.981,0.53178,1.8805,17.44,19.128,90.842,29.51,44.301,223.57,2.2249,11.584,0.012427,vapor
-42.853,9.0302,0.53463,1.8705,17.441,19.13,90.809,29.532,44.356,223.57,2.2213,11.592,0.012443,vapor
-42.709,9.0796,0.53749,1.8605,17.442,19.131,90.776,29.553,44.41,223.57,2.2177,11.6,0.012458,vapor
-42.564,9.1292,0.54036,1.8506,17.444,19.133,90.742,29.574,44.465,223.57,2.2141,11.607,0.012473,vapor
-42.42,9.179,0.54325,1.8408,17.445,19.135,90.709,29.595,44.52,223.57,2.2104,11.615,0.012489,vapor
-42.276,9.229,0.54614,1.831,17.446,19.136,90.676,29.616,44.575,223.56,2.2068,11.622,0.012504,vapor
-42.132,9.2792,0.54905,1.8213,17.447,19.138,90.643,29.638,44.63,223.56,2.2032,11.63,0.01252,vapor
-41.987,9.3296,0.55198,1.8117,17.449,19.139,90.609,29.659,44.686,223.56,2.1997,11.638,0.012536,vapor
-41.843,9.3802,0.55491,1.8021,17.45,19.14,90.576,29.68,44.742,223.55,2.1961,11.646,0.012551,vapor
-41.699,9.431,0.55786,1.7926,17.451,19.142,90.543,29.702,44.798,223.55,2.1925,11.653,0.012567,vapor
-41.555,9.4821,0.56082,1.7831,17.453,19.143,90.51,29.723,44.854,223.55,2.189,11.661,0.012583,vapor
-41.41,9.5333,0.56379,1.7737,17.454,19.145,90.477,29.745,44.911,223.54,2.1854,11.669,0.012598,vapor
-41.266,9.5847,0.56678,1.7644,17.455,19.146,90.444,29.766,44.967,223.54,2.1819,11.676,0.012614,vapor
-41.122,9.6363,0.56977,1.7551,17.456,19.148,90.411,29.788,45.024,223.54,2.1784,11.684,0.01263,vapor
-40.978,9.6882,0.57278,1.7459,17.458,19.149,90.378,29.809,45.081,223.53,2.1748,11.692,0.012646,vapor
-40.833,9.7402,0.57581,1.7367,17.459,19.151,90.345,29.831,45.139,223.53,2.1713,11.7,0.012662,vapor
-40.689,9.7925,0.57884,1.7276,17.46,19.152,90.312,29.853,45.196,223.52,2.1678,11.707,0.012678,vapor
-40.545,9.845,0.58189,1.7185,17.461,19.153,90.279,29.874,45.254,223.52,2.1643,11.715,0.012694,vapor
-40.401,9.8976,0.58495,1.7095,17.463,19.155,90.246,29.896,45.312,223.51,2.1609,11.723,0.01271,vapor
-40.256,9.9505,0.58803,1.7006,17.464,19.156,90.213,29.918,45.371,223.51,2.1574,11.731,0.012726,vapor
-40.112,10.004,0.59112,1.6917,17.465,19.157,90.18,29.94,45.429,223.5,2.1539,11.738,0.012742,vapor
-39.968,10.057,0.59422,1.6829,17.466,19.159,90.148,29.962,45.488,223.49,2.1505,11.746,0.012758,vapor
-39.823,10.11,0.59733,1.6741,17.467,19.16,90.115,29.983,45.547,223.49,2.147,11.754,0.012774,vapor
